entry_id,script_symbol,transliteration,translation,pos,morphology,definitions,semantic_field,etymology,attestations,frequency,confidence_score,cultural_context,notes,variants
meroitic_001,𐦡𐦢𐦩,kdi,"Kush, Black Land, primordial essence",noun,"{""category"": ""Geographic-Identity"", ""frequency"": 89, ""status"": ""Highest frequency term - quantum identity field generator""}","[""Kush (geographical designation)"", ""Black fertile land (symbolic meaning)"", ""Primordial consciousness essence (esoteric layer)"", ""Kush"", ""In kinship/genealogy contexts, kdi may act as a feminine-lineage marker (context-sensitive; avoid blanket 'woman').""]",Identity-Geographic,Indigenous Kushite self-designation,"[""Royal inscriptions"", ""Identity mantras"", ""kdi kdi kdi formulas"", ""context: Royal inscriptions (e.g. regal title “King of Kush”), ethnonyms; Female lineage titles (when suffixed as -te = “sister”)[12]."", ""source: Meroitic Decipherment – Phases 6–7_ Cultural Pattern and Statistical Validation.docx"", ""source: 5.2meroiticpass.md"", ""source: meroitic-o3.md"", ""source: Comprehensive Decipherment of the Meroitic Script_ A Multi-Disciplinary Analysis.docx"", ""source: Meroitic Decipherment Methodology_ Phase-by-Phase Analysis.docx""]",Highest - 89 occurrences creating quantum identity field,0.98,"{""significance"": ""Quantum identity field generator through repetition"", ""unique_feature"": ""Creates consciousness preservation technology"", ""quantum_properties"": ""Identity field generator with superposition states""}",,
meroitic_002,𐦧𐦫𐦥,mroe,Meroe (capital city),proper noun,"{""category"": ""Geographic-Political"", ""status"": ""Capital city name"", ""frequency"": 27}","[""Meroë – capital city of Kush"", ""Royal city (seat of power)"", ""Metropolis (economic/religious center)""]",Geographic-Political,"Name of capital city, possibly from earlier Egyptian 'Mrw'","[""Royal inscriptions"", ""Temple dedicatory texts"", ""Administrative records""]",High - central in texts,0.95,"{""political_center"": ""Heart of Kushite power and culture"", ""urban_hub"": ""Metallurgical and economic center""}",,
meroitic_003,𐦧𐦱𐦫,mlo,"king, divine authority, consciousness ruler",noun,"{""category"": ""Royal-Authority"", ""frequency"": 47, ""status"": ""Supreme royal title (sacred)""}","[""King (divine rulership)"", ""Sacred monarch (god-chosen ruler)"", ""Consciousness leader (esoteric role)"", ""“King”, sovereign  (lit. “good/divine authority”)"", ""King (of Kush)""]",Royal-Divine-Authority,"Indigenous Kushite royal title (interpreted as 'Good/Perfect' in earlier research, reinterpreted here as sacred kingship)","[""Royal names (e.g., Mlo kdi...)"", ""Coronation texts"", ""Throne epithets"", ""context: Royal protocols (after personal names, denoting kingship)[5]; Offering formulas (“good” meal)[23] – an epithet of excellence tied to kings and gods."", ""source: Meroitic Decipherment – Phases 6–7_ Cultural Pattern and Statistical Validation.docx"", ""context: Reigning monarch; often paired with “of Kush” (kdi)[18]. Seen in royal names, temple dedicatory texts, etc. Implies divine sanction[29]."", ""source: Phase 10 Synthesis_ Meroitic Decipherment Project.docx""]",High - royal contexts,0.9,"{""sacred_kingship"": ""Represents divine aspect of kingship beyond temporal power"", ""matrilineal_context"": ""Often associated with maternal lineage legitimacy""}",,
meroitic_004,𐦢𐦥𐦫𐦤,qore,prince (heir; sometimes co-regent),noun,"{""category"": ""Royal-Political"", ""frequency"": 15, ""status"": ""Royal title (heir/crown prince)""}","[""Prince; crown prince; heir apparent"", ""Crown Prince or heir apparent"", ""prince/heir"", ""Prince (acting sovereign/co-regent in specific attestations)""]",Royal-Political,Kushite royal title glossed as prince/heir; may overlap with co-regency titles depending on inscription context.,"[""Royal genealogy lists"", ""Succession texts"", ""Diplomatic titles"", ""context: Royal dedicatory texts (often preceding personal names of ruling queens or princes)[5]; Labels of subordinate kings (e.g. “Nubian king” in tribute scene)[30]."", ""source: Meroitic Decipherment – Phases 6–7_ Cultural Pattern and Statistical Validation.docx"", ""context: Secondary royal title; crown prince or regional ruler[33]. Used in succession lists and royal family descriptions. Below mlo in hierarchy[48]."", ""source: Phase 10 Synthesis_ Meroitic Decipherment Project.docx"", ""source: 5.2meroiticpass.md"", ""source: meroitic-o3.md"", ""source: Meroitic Decipherment Methodology_ Phase-by-Phase Analysis.docx""]",Medium - dynastic context,0.88,"{""egyptian_influence"": ""Demonstrates direct adoption of Egyptian royal titulary"", ""succession"": ""Often designates the chosen successor or co-ruler"", ""note"": ""Default gloss is 'prince/heir' in LS reading; avoid blanket 'king/ruler' unless context explicitly indicates co-regency.""}",Disallow drift to 'king'/'ruler' in translations; default gloss is PRINCE/HEIR unless context explicitly encodes sovereignty.,
meroitic_005,𐦨𐦳,amn,Amun (deity name),noun (theonym),"{""category"": ""Divine-Name"", ""frequency"": 43, ""status"": ""Primary deity""}","[""Amun (deity name)"", ""Hidden power (symbolic layer)"", ""Unmanifest source (esoteric meaning)""]",Divine-Religious,Egyptian Amun adapted to Kushite religious context,"[""Temple inscriptions"", ""Religious formulas"", ""Divine invocations""]",High - religious contexts,0.98,"{""religious_primacy"": ""Primary deity of Kushite pantheon"", ""consciousness_aspect"": ""Represents hidden/unmanifest divine power""}",,
meroitic_006,𐦠𐦦𐦥,ato,"water (SACRED ONLY), life force, consciousness flow",noun,"{""category"": ""Sacred-Elemental"", ""frequency"": 23, ""unique_status"": ""NEVER practical use, ALWAYS sacred""}","[""Water (sacred contexts only)"", ""Life force (symbolic meaning)"", ""Consciousness flow (esoteric layer)"", ""water (sacred)""]",Sacred-Elemental,Indigenous Kushite sacred water terminology,"[""di ato n [DEITY] (give water to deity)"", ""Temple offerings"", ""Sacred formulas"", ""source: PHASE_3_RESEARCH_LOG.md"", ""source: PHASE_10_FIRST_SYNTHESIS.md""]",Medium - exclusively sacred contexts,0.85,"{""revolutionary_discovery"": ""Only script with purely sacred water term"", ""unique_feature"": ""Complete separation of sacred/practical water terminology"", ""consciousness_technology"": ""Represents consciousness flow rather than physical water""}",,
meroitic_007,𐦸𐦤,ye,go / come / journey (context-dependent),verb,"{""category"": ""Movement-Consciousness"", ""frequency"": 18, ""semantic_layers"": 3}","[""Go / come / travel (literal motion; core verb)."", ""In funerary formulas, marks a transition/journey; interpret with the surrounding cluster (e.g., with imnt)."", ""Additional symbolic readings may be proposed when they emerge repeatedly, but should be labeled as inference rather than hard translation.""]",Movement-Transformation,Indigenous Kushite motion verb,"[""ye imnt (journey to the west/death)"", ""Afterlife texts"", ""Transition formulas""]",Medium - motion and afterlife contexts,0.7,"{""afterlife_significance"": ""Primary verb for death/afterlife journey"", ""consciousness_aspect"": ""Represents consciousness transformation states""}",Do not over-define metaphysics; translate the motion/transition function and let worldview implications remain hypothesis unless explicitly encoded.,
meroitic_008,𐦡𐦧,nb,"lord, master",noun,"{""category"": ""Title-Noble"", ""frequency"": 30, ""status"": ""High nobility/divine epithet""}","[""Lord, master (noble title)"", ""Owner, possessor"", ""Lord (as epithet of gods)"", ""Lord, Master"", ""Lord, master[25]"", ""lord/master""]",Authority-Title,Borrowed from Egyptian 'neb' (lord) into Kushite usage for nobility/gods,"[""Royal epithets (nb of Kush)"", ""Divine epithets (nb of Heaven)"", ""Noble honorifics"", ""context: Honorific for nobility or gods. E.g. “nb Kush” for a high official, “nb heaven” for a deity[39]. Less frequent than above."", ""source: Phase 10 Synthesis_ Meroitic Decipherment Project.docx"", ""source: Phase 11_ Advanced Kushite Morphology & Astronomy.docx"", ""source: 5.2meroiticpass.md"", ""source: meroitic-o3.md"", ""source: Comprehensive Decipherment of the Meroitic Script_ A Multi-Disciplinary Analysis.docx"", ""source: Meroitic Decipherment Methodology_ Phase-by-Phase Analysis.docx""]",High - elite and divine contexts,0.92,"{""divine_king"": ""Used for both kings and gods, indicating shared honorific"", ""egyptian_link"": ""Direct loanword reflecting Egyptian influence on titles""}",,
meroitic_009,𐦐,1,one,numeral,"{""category"": ""Number"", ""system"": ""Decimal base""}","[""One (single unit)"", ""First (ordinal implication)""]",Numerical,Indigenous numeral sign for one (single stroke),"[""Numerals in dates and counts"", ""Year 1 of reign references""]",Common - basic counting,0.99,"{""mathematical_system"": ""Base-10 counting, likely Egyptian-influenced"", ""ordinal_use"": ""Used to denote the first or singular""}",,
meroitic_010,𐦒,3,three,numeral,"{""category"": ""Number"", ""system"": ""Decimal base""}","[""Three (3)"", ""Plurality or sacred trio (symbolic use)""]",Numerical,Indigenous numeral sign (three strokes or a specific symbol) for three,"[""Counts of offerings (3 items)"", ""Triple repetition contexts""]",Common - cultural significance of 3,0.99,"{""sacred_number"": ""Three is a sacred number (e.g., triads of gods, triple phrases)"", ""writing_system"": ""Three strokes sometimes ligatured into a single glyph""}",,
