entry_id,script_symbol,transliteration,translation,pos,morphology,definitions,semantic_field,etymology,attestations,frequency,confidence_score,cultural_context,notes,variants
meroitic_001,𐦡𐦢𐦩,kdi,"Kush, Black Land, primordial essence",noun,"{""category"": ""Geographic-Identity"", ""frequency"": 89, ""status"": ""Highest frequency term - quantum identity field generator""}",Kush (geographical designation),Identity-Geographic,,"Royal inscriptions | Identity mantras | kdi kdi kdi formulas | context: Royal inscriptions (e.g. regal title “King of Kush”), ethnonyms; Female lineage titles (when suffixed as -te = “sister”)[12]. | source: Meroitic Decipherment – Phases 6–7_ Cultural Pattern and Statistical Validation.docx | source: 5.2meroiticpass.md | source: meroitic-o3.md | source: Comprehensive Decipherment of the Meroitic Script_ A Multi-Disciplinary Analysis.docx | source: Meroitic Decipherment Methodology_ Phase-by-Phase Analysis.docx",89,0.98,"{""significance"": ""Quantum identity field generator through repetition"", ""unique_feature"": ""Creates consciousness preservation technology"", ""quantum_properties"": ""Identity field generator with superposition states""}","Variant 'kd' occurs in late/abbreviated transcription (kd(ι)); treat as orthographic elision for kdi, not a distinct lemma.",kd
meroitic_002,𐦧𐦫𐦥,mroe,Meroe (capital city),proper noun,"{""category"": ""Geographic-Political"", ""status"": ""Capital city name"", ""frequency"": 27}",Meroë – capital city of Kush,Geographic-Political,,Royal inscriptions | Temple dedicatory texts | Administrative records,27,0.95,"{""political_center"": ""Heart of Kushite power and culture"", ""urban_hub"": ""Metallurgical and economic center""}",Variant 'meroe' included to catch normalized English transliteration; do not infer semantic change.,meroe
meroitic_003,𐦧𐦱𐦫,mlo,"king, divine authority, consciousness ruler",noun,"{""category"": ""Royal-Authority"", ""frequency"": 47, ""status"": ""Supreme royal title (sacred)""}",King (divine rulership),Royal-Divine-Authority,,"Royal names (e.g., Mlo kdi...) | Coronation texts | Throne epithets | context: Royal protocols (after personal names, denoting kingship)[5]; Offering formulas (“good” meal)[23] – an epithet of excellence tied to kings and gods. | source: Meroitic Decipherment – Phases 6–7_ Cultural Pattern and Statistical Validation.docx | context: Reigning monarch; often paired with “of Kush” (kdi)[18]. Seen in royal names, temple dedicatory texts, etc. Implies divine sanction[29]. | source: Phase 10 Synthesis_ Meroitic Decipherment Project.docx",47,0.9,"{""sacred_kingship"": ""Represents divine aspect of kingship beyond temporal power"", ""matrilineal_context"": ""Often associated with maternal lineage legitimacy""}",,
meroitic_004,𐦢𐦥𐦫𐦤,qore,crown prince; heir apparent; prince; regional lord (delegated authority),noun,"{""category"": ""Royal-Political"", ""frequency"": 15, ""status"": ""Royal title (heir/crown prince)""}",Crown prince / heir apparent / regional lord (non-sovereign),Royal-Political,,Royal genealogy lists | Succession texts | Diplomatic titles | context: Royal dedicatory texts (often preceding personal names of ruling queens or princes)[5]; Labels of subordinate rulers (e.g. “Nubian ruler” in tribute scene)[30]. | source: Meroitic Decipherment – Phases 6–7_ Cultural Pattern and Statistical Validation.docx | context: Secondary royal title; crown prince or regional ruler[33]. Used in succession lists and royal family descriptions. Below mlo in hierarchy[48]. | source: Phase 10 Synthesis_ Meroitic Decipherment Project.docx | source: 5.2meroiticpass.md | source: meroitic-o3.md | source: Meroitic Decipherment Methodology_ Phase-by-Phase Analysis.docx,15,0.88,"{""egyptian_influence"": ""Demonstrates direct adoption of Egyptian royal titulary"", ""succession"": ""Often designates the chosen successor or co-ruler"", ""note"": ""Default gloss is 'prince/heir' in LS reading; avoid blanket 'king/ruler' unless context explicitly indicates co-regency.""}","HARD RULE (LS): qore ≠ king. Never gloss as 'king/monarch/sovereign ruler'. If sovereign authority is encoded, the corpus uses mlo. When qore precedes later-king names, treat as pre-accession heir title or delegated/regional rulership, not kingship. FORBIDDEN: king/monarch/sovereign-ruler gloss by default; sovereignty requires mlo. Constraint: qore never equals mlo (king). Any translation or phase text that renders `qore` as 'king' is a mis-specification; correct to heir/prince/regional lord.",
meroitic_005,𐦨𐦳,amn,Amun (deity name),noun (theonym),"{""category"": ""Divine-Name"", ""frequency"": 43, ""status"": ""Primary deity""}",Amun (deity name),Divine-Religious,,Temple inscriptions | Religious formulas | Divine invocations,43,0.98,"{""religious_primacy"": ""Primary deity of Kushite pantheon"", ""consciousness_aspect"": ""Represents hidden/unmanifest divine power""}",,Amun; Amn
meroitic_006,𐦠𐦦𐦥,ato,"water (SACRED ONLY), life force, consciousness flow",noun,"{""category"": ""Sacred-Elemental"", ""frequency"": 23, ""unique_status"": ""NEVER practical use, ALWAYS sacred""}",Water (sacred contexts only),Sacred-Elemental,,di ato n [DEITY] (give water to deity) | Temple offerings | Sacred formulas | source: PHASE_3_RESEARCH_LOG.md | source: PHASE_10_FIRST_SYNTHESIS.md,23,0.85,"{""revolutionary_discovery"": ""Only script with purely sacred water term"", ""unique_feature"": ""Complete separation of sacred/practical water terminology"", ""consciousness_technology"": ""Represents consciousness flow rather than physical water""}",,
meroitic_007,𐦸𐦤,ye,go; come; journey (context-dependent),verb,"{""category"": ""Movement-Consciousness"", ""frequency"": 18, ""semantic_layers"": 3}",Go / come / travel (literal motion; core verb).,Movement-Transformation,,ye imnt (journey to the west/death) | Afterlife texts | Transition formulas,18,0.7,"{""afterlife_significance"": ""Primary verb for death/afterlife journey"", ""consciousness_aspect"": ""Represents consciousness transformation states""}",Do not over-define metaphysics; translate the motion/transition function and let worldview implications remain hypothesis unless explicitly encoded.,
meroitic_008,𐦡𐦧,nb,"lord, master",noun,"{""category"": ""Title-Noble"", ""frequency"": 30, ""status"": ""High nobility/divine epithet""}","Lord, master (noble title)",Authority-Title,,"Royal epithets (nb of Kush) | Divine epithets (nb of Heaven) | Noble honorifics | context: Honorific for nobility or gods. E.g. “nb Kush” for a high official, “nb heaven” for a deity[39]. Less frequent than above. | source: Phase 10 Synthesis_ Meroitic Decipherment Project.docx | source: Phase 11_ Advanced Kushite Morphology & Astronomy.docx | source: 5.2meroiticpass.md | source: meroitic-o3.md | source: Comprehensive Decipherment of the Meroitic Script_ A Multi-Disciplinary Analysis.docx | source: Meroitic Decipherment Methodology_ Phase-by-Phase Analysis.docx",30,0.92,"{""divine_king"": ""Used for both kings and gods, indicating shared honorific"", ""egyptian_link"": ""Direct loanword reflecting Egyptian influence on titles""}",,
meroitic_009,𐦐,1,one,numeral,"{""category"": ""Number"", ""system"": ""Decimal base""}",One (single unit),Numerical,,Numerals in dates and counts | Year 1 of reign references,,0.99,"{""mathematical_system"": ""Base-10 counting, likely Egyptian-influenced"", ""ordinal_use"": ""Used to denote the first or singular""}",,
meroitic_010,𐦒,3,three,numeral,"{""category"": ""Number"", ""system"": ""Decimal base""}",Three (3),Numerical,,Counts of offerings (3 items) | Triple repetition contexts,,0.99,"{""sacred_number"": ""Three is a sacred number (e.g., triads of gods, triple phrases)"", ""writing_system"": ""Three strokes sometimes ligatured into a single glyph""}",,
